[2024-06-23 21:19:10,929: INFO: main: Welcome to our custom log]
[2024-06-24 18:10:38,050: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-06-24 18:10:38,060: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-24 18:10:38,067: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-24 18:10:38,068: INFO: common: created directory at: artifacts]
[2024-06-24 18:10:38,068: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-24 18:10:38,068: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1S9ewbKQatalumhgnu2QEevXVOH0SsaDv/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-06-24 18:11:55,200: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1S9ewbKQatalumhgnu2QEevXVOH0SsaDv/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-06-24 18:11:57,717: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
